DFF 1.1,Flow Table,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gate,,,Command,,,,Bin Number,,Sort Number,,,Flag,,,Group,,,,Device,,,Debug,,,
,Label,Enable,Job,Part,Env,Opcode,Parameter,TName,TNum,Pass,Fail,Pass,Fail,Result,Pass,Fail,State,Specifier,Sense,Condition,Name,Sense,Condition,Name,Assume,Sites,Comment,
,ILLEGAL_JOB,,,,,nop,ILLEGAL_JOB,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,EngLoopWait,,,,Test,Wait3Sec,LoopWait,999900,,4,,9999,Fail,,,,,,,,,,,,,For DUT cooling during program looping,
,,,f1-prd-qtp,f1-prd-std,,,goto,FT_Test,,,,,,,,,,,,,,,,,,,,,
,,,q1-prd-qtp,q1-prd-std,,,goto,QC_Test,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,FT_Test,,,,,print,"=================== RF Module Test ===================",,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Test,POWER_RESET_LEDS,,999800,,5,,9998,None,,,,,,,,,,,,,Reset Pass/Fail LEDs,
,,,,RN2483,25c,Test,EU_c_cont_vss_ppmu_RF,,1000,,5,,10,Fail,,LED_Fail,,,,,,,,,,,RN2483,
,,,,RN2483,25c,Test,EU_c_cont_vdd_ppmu_RF,,1100,,5,,11,Fail,,LED_Fail,,,,,,,,,,,RN2483,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,RN2903,25c,Test,NA_c_cont_vss_ppmu_RF,,1200,,5,,12,Fail,,LED_Fail,,,,,,,,,,,RN2903,
,,,,RN2903,25c,Test,NA_c_cont_vdd_ppmu_RF,,1300,,5,,13,Fail,,LED_Fail,,,,,,,,,,,RN2903,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,f1-prd-qtp,,,print,"====================== QTP Test =====================",,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,f1-prd-qtp,,25c,Test,m_bulk_erase_max,,60000,,4,,600,Fail,,,,,,,,,,,,,QTP Module,
,,,f1-prd-qtp,,25c,Test,m_pfm_wr_qtp,,60100,,4,,601,Fail,,,,,,,,,,,,,QTP Module,
,,,f1-prd-qtp,,25c,Test,m_pfm_rd_qtp,,60200,,4,,602,Fail,,,,,,,,,,,,,QTP Module,
,,,f1-prd-qtp,,25c,Test,m_dfm_wr_qtp,,60300,,4,,603,Fail,,,,,,,,,,,,,QTP Module,
,,,f1-prd-qtp,,25c,Test,m_dfm_rd_qtp,,60400,,4,,604,Fail,,,,,,,,,,,,,QTP Module,
,,,f1-prd-qtp,,25c,Test,m_cfg_wr_qtp,,60500,,4,,605,Fail,,,,,,,,,,,,,QTP Module,
,,,f1-prd-qtp,,25c,Test,m_cfg_rd_qtp,,60600,,4,,606,Fail,,,,,,,,,,,,,QTP Module,
,,,f1-prd-qtp,,25c,Test,m_pfm_rd_qtp_cp,,60700,,4,,607,Fail,,,,,,,,,,,,,QTP Module,
,,,f1-prd-qtp,,25c,Test,m_dfm_rd_qtp_cp,,60800,,4,,608,Fail,,,,,,,,,,,,,QTP Module,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,RN2483,25c,Test,EU_I_IDLE_VBT,,30000,,3,,300,Fail,,,,,,,,,,,,,RN2483,
,,,,RN2483,25c,Test,EU_MODULE_ID_MFS,,40000,,4,,400,Fail,,,,,,,,,,,,,RN2483,
,,,,RN2483,25c,Test,EU_MODULE_GPIO_CHECK,,40100,,4,,401,Fail,,,,,,,,,,,,,RN2483,
,,,,RN2483,25c,Test,EU_TX_CW_868,,40200,,4,,402,Fail,,,,,,,,,,,,,RN2483,
,,,,RN2483,25c,Test,EU_I_SLEEP,,30100,,3,,301,Fail,,,,,,,,,,,,,RN2483,
,,,,RN2483,25c,Test,EU_RX_PKT_RCV_868_M,,40300,,4,,403,Fail,,,,,,,,,,,,,RN2483,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,RN2903,25c,Test,NA_I_IDLE_VBT,,35000,,3,,350,Fail,,,,,,,,,,,,,RN2903,
,,,,RN2903,25c,Test,NA_MODULE_ID_MFS,,45000,,4,,450,Fail,,,,,,,,,,,,,RN2903,
,,,,RN2903,25c,Test,NA_MODULE_GPIO_CHECK,,45100,,4,,451,Fail,,,,,,,,,,,,,RN2903,
,,,,RN2903,25c,Test,NA_TX_CW_915,,45200,,4,,452,Fail,,,,,,,,,,,,,RN2903,
,,,,RN2903,25c,Test,NA_I_SLEEP,,35100,,3,,351,Fail,,,,,,,,,,,,,RN2903,
,,,,RN2903,25c,Test,NA_RX_PKT_RCV_915_M,,45300,,4,,453,Fail,,,,,,,,,,,,,RN2903,
,,,,,,Test,PASS_FAIL_LEDS,,999700,,4,,9997,None,,,,,,,,,,,,,Set Pass/Fail LEDs,
,,,,,,goto,BINIT,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,QC_Test,,,,,print,"======================= QC Test ======================",,,,,,,,,,,,,,,,,,,,,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Test,POWER_RESET_LEDS,,999800,,5,,9998,None,,,,,,,,,,,,,Reset Pass/Fail LEDs,
,,,,RN2483,25c,Test,EU_c_cont_vss_ppmu_RF_qc,,101000,,5,,1010,Fail,,LED_Fail,,,,,,,,,,,RN2483,
,,,,RN2483,25c,Test,EU_c_cont_vdd_ppmu_RF_qc,,101100,,5,,1011,Fail,,LED_Fail,,,,,,,,,,,RN2483,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,RN2903,25c,Test,NA_c_cont_vss_ppmu_RF_qc,,101200,,5,,1012,Fail,,LED_Fail,,,,,,,,,,,RN2903,
,,,,RN2903,25c,Test,NA_c_cont_vdd_ppmu_RF_qc,,101300,,5,,1013,Fail,,LED_Fail,,,,,,,,,,,RN2903,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,RN2483,25c,Test,EU_I_IDLE_VBT_qc,,130000,,3,,1300,Fail,,,,,,,,,,,,,RN2483,
,,,,RN2483,25c,Test,EU_MODULE_ID_MFS_qc,,140000,,4,,1400,Fail,,,,,,,,,,,,,RN2483,
,,,,RN2483,25c,Test,EU_MODULE_GPIO_CHECK_qc,,140100,,4,,1401,Fail,,,,,,,,,,,,,RN2483,
,,,,RN2483,25c,Test,EU_TX_CW_868_qc,,140200,,4,,1402,Fail,,,,,,,,,,,,,RN2483,
,,,,RN2483,25c,Test,EU_I_SLEEP_qc,,130100,,3,,1301,Fail,,,,,,,,,,,,,RN2483,
,,,,RN2483,25c,Test,EU_RX_PKT_RCV_868_M_qc,,140300,,4,,1403,Fail,,,,,,,,,,,,,RN2483,
,,,q1-prd-qtp,RN2483,25c,Test,m_pfm_rd_qtp_cp,,60700,,4,,607,Fail,,,,,,,,,,,,,QTP Module,
,,,q1-prd-qtp,RN2483,25c,Test,m_dfm_rd_qtp_cp,,60800,,4,,608,Fail,,,,,,,,,,,,,QTP Module,
,,,q1-prd-qtp,RN2483,25c,Test,m_cfg_rd_qtp,,60600,,4,,606,Fail,,,,,,,,,,,,,QTP Module,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,,,,RN2903,25c,Test,NA_I_IDLE_VBT_qc,,135000,,3,,1350,Fail,,,,,,,,,,,,,RN2903,
,,,,RN2903,25c,Test,NA_MODULE_ID_MFS_qc,,145000,,4,,1450,Fail,,,,,,,,,,,,,RN2903,
,,,,RN2903,25c,Test,NA_MODULE_GPIO_CHECK_qc,,145100,,4,,1451,Fail,,,,,,,,,,,,,RN2903,
,,,,RN2903,25c,Test,NA_TX_CW_915_qc,,145200,,4,,1452,Fail,,,,,,,,,,,,,RN2903,
,,,,RN2903,25c,Test,NA_I_SLEEP_qc,,135100,,3,,1351,Fail,,,,,,,,,,,,,RN2903,
,,,,RN2903,25c,Test,NA_RX_PKT_RCV_915_M_qc,,145300,,4,,1453,Fail,,,,,,,,,,,,,RN2903,
,,,q1-prd-qtp,RN2903,25c,Test,m_pfm_rd_qtp_cp,,60700,,4,,607,Fail,,,,,,,,,,,,,QTP Module,
,,,q1-prd-qtp,RN2903,25c,Test,m_dfm_rd_qtp_cp,,60800,,4,,608,Fail,,,,,,,,,,,,,QTP Module,
,,,q1-prd-qtp,RN2903,25c,Test,m_cfg_rd_qtp,,60600,,4,,606,Fail,,,,,,,,,,,,,QTP Module,
,,,,,,Test,PASS_FAIL_LEDS,,999700,,4,,9997,None,,,,,,,,,,,,,Set Pass/Fail LEDs,
,,,,,,nop,,,,,,,,,,,,,,,,,,,,,,
,BINIT,,,,,set-device,,,,2,,2,,,,,,,,,,,,,,,,
,EOT,,,,,stop,,,,,,,,,,,,,,,,,,,,,,
